GHCND,STATION_NAME,CC,ST,COUNTY,LAT_DEC,LON_DEC
USW00094704,DANSVILLE MUNICIP,US,NY,LIVINGSTON,42.57083,-77.71333
USW00014757,POUGHKEEPSIE FAA,US,NY,DUTCHESS,41.633333,-73.883333
USW00014771,SYRACUSE HANCOCK,US,NY,ONONDAGA,43.1111,-76.1038
USC00306820,POUGHKEEPSIE,US,NY,DUTCHESS,41.63333,-73.91667
USC00300889,BRIDGEHAMPTON,US,NY,SUFFOLK,40.952,-72.2977
USC00300040,AKRON,US,NY,ERIE,43.016667,-78.5
USC00300070,ALDEN,US,NY,ERIE,42.9,-78.5
USC00300259,ARKWRIGHT,US,NY,CHAUTAUQUA,42.416667,-79.25
USC00300300,ATNENS,US,NY,GREENE,42.266667,-73.833333
USC00300957,BROOKFIELD,US,NY,MADISON,42.8,-75.333333
USC00300958,BROOKLYN (1),US,NY,QUEENS,40.683333,-73.966667
USC00301196,CAPE VINCENT,US,NY,JEFFERSON,44.133333,-76.333333
USC00301220,CARVERS FALLS,US,NY,WASHINGTON,43.616667,-73.3
USC00301288,CEDAR HILL,US,NY,ALBANY,42.216667,-73.766667
USC00301414,CHENANGO FORKS,US,NY,BROOME,42.233333,-75.85
USC00301771,CORINTH,US,NY,SARATOGA,43.25,-73.833333
USC00302001,DAVIDS ISLAND,US,NY,WESTCHESTER,40.883056,-73.768333
USC00302862,FLEMING,US,NY,CAYUGA,42.833333,-76.55
USC00303281,GLENS FALLS 2,US,NY,WARREN,43.3,-73.666667
USC00303636,HANCOCK,US,NY,DELAWARE,41.95,-75.283333
USC00303938,HOMER,US,NY,CORTLAND,42.633333,-76.2
USC00303959,HONEYMEAD BROOK,US,NY,DUTCHESS,41.85,-73.683333
USC00304045,HUMPHREY,US,NY,CATTARAUGUS,42.233333,-78.233333
USC00304686,LEBANON SPRINGS,US,NY,COLUMBIA,42.483333,-73.366667
USC00304957,MADISON BARRACKS,US,NY,JEFFERSON,43.95,-76.116667
USC00304995,MALONE (1),US,NY,FRANKLIN,44.833333,-74.383333
USC00305235,MEDFORD,US,NY,SUFFOLK,40.816667,-72.983333
USC00305388,MINNEWASKA,US,NY,ULSTER,41.733333,-74.233333
USC00305540,MOUNT HOPE,US,NY,WESTCHESTER,40.983333,-73.866667
USC00305658,NEHASANE,US,NY,HAMILTON,43.95,-74.833333
USC00306028,NORTH ROSE,US,NY,WAYNE,43.15,-76.866667
USC00306098,NUMBER FOUR,US,NY,LEWIS,43.866667,-75.183333
USC00306168,OHIOVILLE,US,NY,ULSTER,41.733333,-74.066667
USC00306579,PHOENIX,US,NY,OSWEGO,43.066667,-76.283333
USC00306983,RED HOOK,US,NY,DUTCHESS,42.033333,-73.85
USC00307088,RICHMONDVILLE,US,NY,SCHOHARIE,42.633333,-74.55
USC00307097,RIDGEWAY,US,NY,ORLEANS,43.266667,-78.383333
USC00307252,RONDOUT,US,NY,ULSTER,41.916667,-73.966667
USC00307282,ROSLYN,US,NY,NASSAU,40.8,-73.633333
USC00307420,SALISBURY MILLS,US,NY,ORANGE,41.383333,-74.083333
USC00307895,SOUTHHAMPTON,US,NY,SUFFOLK,40.9,-72.45
USC00308633,TURIN,US,NY,LEWIS,43.616667,-75.416667
USC00309050,WEDGEWOOD,US,NY,SCHUYLER,42.333333,-76.95
USC00309466,WILLETS POINT,US,NY,QUEENS,40.8,-73.766667
USC00300090,ALLEGANY,US,NY,CATTARAUGUS,42.1,-78.566667
USC00300208,APPLETON,US,NY,NIAGARA,43.35,-78.65
USC00300307,ATLANTA,US,NY,STEUBEN,42.533333,-77.466667
USC00300386,BALLSTON LAKE,US,NY,SARATOGA,42.9,-73.866667
USC00300772,BOLTON,US,NY,WARREN,43.566667,-73.65
USC00300774,BONAPARTE,US,NY,LEWIS,44.133333,-75.383333
USC00300795,BOUCKVILLE,US,NY,MADISON,42.833333,-75.583333
USC00300828,BRANDRETH,US,NY,HERKIMER,43.933333,-74.85
USC00301018,BUFFALO #2,US,NY,ERIE,42.933333,-78.9
USC00301040,BURKE,US,NY,FRANKLIN,44.916667,-74.2
USC00301170,CANEADEA DAM,US,NY,ALLEGANY,42.383333,-78.183333
USC00301395,CHAUTAUQUA,US,NY,CHAUTAUQUA,42.216667,-79.466667
USC00301442,CHESTNUT LAWN,US,NY,WYOMING,42.583333,-78.016667
USC00301510,CLARENCE CENTER,US,NY,ERIE,43.033333,-78.633333
USC00301598,COEYMANS,US,NY,ALBANY,42.466667,-73.8
USC00301618,COLD SPRING HARBO,US,NY,NASSAU,40.866667,-73.466667
USC00301765,COPENHAGEN,US,NY,LEWIS,43.883333,-75.666667
USC00302020,DEKALB JUNCTION,US,NY,ST. LAWRENCE,44.5,-75.266667
USC00302143,DONNATTSBURG,US,NY,LEWIS,43.75,-75.333333
USC00302462,EASTON,US,NY,WASHINGTON,42.983333,-73.55
USC00302547,ELBA,US,NY,GENESEE,43.066667,-78.166667
USC00302587,ELLENVILLE 2,US,NY,ULSTER,41.716667,-74.4
USC00302780,FAYETTEVILLE,US,NY,ONONDAGA,43.033333,-76.016667
USC00302868,FLUSHING,US,NY,QUEENS,40.766667,-73.866667
USC00302941,FORT HUNTER,US,NY,MONTGOMERY,42.95,-74.283333
USC00302946,FORT NIAGARA,US,NY,NIAGARA,43.266667,-79.066667
USC00303020,FRANKLIN,US,NY,DELAWARE,42.333333,-75.166667
USC00303125,GANSEVOORT,US,NY,SARATOGA,43.15,-73.75
USC00303165,GEE BROOK HILLS,US,NY,CORTLAND,42.483333,-75.933333
USC00303381,GRAND ISLAND,US,NY,ERIE,42.966667,-78.966667
USC00303468,GREENWICH,US,NY,WASHINGTON,43.116667,-73.5
USC00303503,GRIFFIN CORNERS,US,NY,DELAWARE,42.166667,-74.533333
USC00303619,HAMMONDSPORT,US,NY,STEUBEN,42.433333,-77.15
USC00303662,HARKNESS,US,NY,CLINTON,44.533333,-73.566667
USC00303792,HERRING,US,NY,JEFFERSON,44.033333,-75.65
USC00303825,HICKSVILLE,US,NY,NASSAU,40.766667,-73.533333
USC00303941,HOMESTEAD SANATAR,US,NY,SARATOGA,43.1,-74.016667
USC00303965,HOOSICK FALLS,US,NY,RENSSELAER,42.9,-73.35
USC00303986,HORSEHEADS,US,NY,CHEMUNG,42.15,-76.833333
USC00304105,INDIAN RIVER,US,NY,LEWIS,44,-75.366667
USC00304234,JEFFERSONVILLE,US,NY,SULLIVAN,41.783333,-74.933333
USC00304348,KELLOGGSVILLE,US,NY,CAYUGA,42.783333,-76.366667
USC00304415,KING FERRY,US,NY,CAYUGA,42.666667,-76.616667
USC00304520,LAKE COLDEN,US,NY,ESSEX,44.1,-74
USC00304529,LAKE GEORGE,US,NY,WARREN,43.433333,-73.716667
USC00304530,LAKE GEORGE #1,US,NY,WARREN,43.433333,-73.716667
USC00304531,LAKE GROVE,US,NY,SUFFOLK,40.866667,-73.116667
USC00304673,LEONARDSVILLE,US,NY,MADISON,42.816667,-75.266667
USC00304685,LEROY,US,NY,GENESEE,42.983333,-78
USC00304784,LISLE,US,NY,BROOME,42.383333,-76.1
USC00304940,LYNDONVILLE (1),US,NY,ORLEANS,43.316667,-78.383333
USC00304942,LYONS,US,NY,WAYNE,43.1,-77
USC00305429,MOIRA,US,NY,FRANKLIN,44.816667,-74.566667
USC00305489,MOREHOUSEVILLE,US,NY,HAMILTON,43.383333,-74.733333
USC00305580,MOUNT MCGREGOR,US,NY,SARATOGA,43.2,-73.75
USC00305618,MOUNT VERNON,US,NY,WESTCHESTER,40.9,-73.833333
USC00305748,NEW LISBON,US,NY,OTSEGO,42.5,-75.25
USC00305965,NORTH HAMMOND,US,NY,ST. LAWRENCE,44.5,-75.716667
USC00306306,OSWEGATCHIE,US,NY,ST. LAWRENCE,44.183333,-75.066667
USC00306365,OXFORD,US,NY,CHENANGO,42.45,-75.616667
USC00306368,OYSTER BAY,US,NY,NASSAU,40.866667,-73.533333
USC00306375,PALERMO,US,NY,OSWEGO,43.433333,-76.266667
USC00306524,PERRY CITY,US,NY,SCHUYLER,42.5,-76.666667
USC00306557,PHILADELPHIA,US,NY,JEFFERSON,44.133333,-75.7
USC00306810,POTSDAM,US,NY,ST. LAWRENCE,44.666667,-75.016667
USC00307033,RHINEBECK,US,NY,DUTCHESS,41.883333,-73.916667
USC00307250,ROMULUS,US,NY,SENECA,42.75,-76.833333
USC00307338,RYE LAKE AIRPORT,US,NY,WESTCHESTER,41.066667,-73.7
USC00307728,SHORTSVILLE,US,NY,ONTARIO,42.95,-77.25
USC00307748,SILVER BAY,US,NY,WARREN,43.7,-73.516667
USC00307925,SOUTH COLTON,US,NY,ST. LAWRENCE,44.516667,-74.883333
USC00307940,SOUTH EDMESTON,US,NY,OTSEGO,42.683333,-75.316667
USC00308099,SPERRYVILLE,US,NY,LEWIS,43.766667,-75.3
USC00308309,STRAITS CORNERS N,US,NY,TIOGA,42.15,-76.383333
USC00308388,TABERG,US,NY,ONEIDA,43.3,-75.616667
USC00308393,TAHAWUS,US,NY,ESSEX,43.966667,-74.033333
USC00308597,TROY,US,NY,RENSSELAER,42.783333,-73.666667
USC00308856,VOORHEESVILLE,US,NY,ALBANY,42.65,-73.9
USC00308860,VOLUSIA,US,NY,CHAUTAUQUA,42.266667,-79.6
USC00309100,WEST BERNE,US,NY,ALBANY,42.616667,-74.166667
USC00309205,WEST HARPERSFIELD,US,NY,DELAWARE,42.433333,-74.716667
USC00309383,WHITEFACE MOUNTAI,US,NY,ESSEX,44.366667,-73.9
USC00309457,WILLARD,US,NY,SENECA,42.683333,-76.883333
USC00309494,WILLSBORO,US,NY,ESSEX,44.333333,-73.35
USC00309510,WINDECKER,US,NY,LEWIS,43.8,-75.616667
USC00309640,YORK,US,NY,LIVINGSTON,42.883333,-77.883333
USC00309691,YOUNGSTOWN,US,NY,NIAGARA,43.25,-79.05
USW00093732,NEW YORK SHOALS A,US,NY,0,39.8,-72.66667
USW00014786,NEW YORK FLOYD BE,US,NY,KINGS,40.58333,-73.88333
USC00305796,NEW YORK AVE V BR,US,NY,KINGS,40.583333,-73.966667
USC00300621,BENSONHURST,US,NY,KINGS,40.6,-73.96667
USC00305798,NEW YORK BENSONHU,US,NY,KINGS,40.6,-73.96667
USC00305821,NEW YORK WESTERLE,US,NY,RICHMOND,40.6,-74.166667
USC00308946,WANTAGH CEDAR CRE,US,NY,NASSAU,40.65,-73.51667
USC00303042,FREEPORT,US,NY,NASSAU,40.666667,-73.6
USC00303786,HEMPSTEAD MALVERN,US,NY,NASSAU,40.683333,-73.666667
USW00094789,NEW YORK FORT TOT,US,NY,QUEENS,40.78333,-73.76667
USC00300351,BABYLON,US,NY,SUFFOLK,40.7,-73.316667
USC00309117,WESTBURY,US,NY,NASSAU,40.73333,-73.6
USW00014708,HEMPSTEAD MITCHEL,US,NY,NASSAU,40.73333,-73.6
USC00303781,HEMPSTEAD GARDEN,US,NY,NASSAU,40.71667,-73.63333
USC00305382,MINEOLA 1 W,US,NY,NASSAU,40.733333,-73.65
USC00305377,MINEOLA,US,NY,NASSAU,40.733333,-73.633333
USC00304632,LAUREL HILL,US,NY,QUEENS,40.73333,-73.93333
USC00305804,NEW YORK LAUREL H,US,NY,QUEENS,40.73333,-73.93333
USC00305816,NEW YORK WSO,US,NY,NEW YORK,40.70111,-74.01527
USW00054787,FARMINGDALE AIRPO,US,NY,SUFFOLK,40.73333,-73.43333
USC00306441,PATCHOGUE 2 SW,US,NY,SUFFOLK,40.75,-73.05
USW00004781,ISLIP,US,NY,SUFFOLK,40.8,-73.11667
USC00300862,BRENTWOOD,US,NY,SUFFOLK,40.766667,-73.233333
USC00302760,FARMINGDALE 2 NE,US,NY,SUFFOLK,40.75,-73.433333
USW00014732,LAGUARDIA,US,NY,QUEENS,40.76667,-73.86667
