date,datatype,value,4,5,6,7,station_id
20200101,WT03,1,,,7,,USC00300317
20200101,WT11,1,,,7,,USC00303322
20200101,WT06,1,,,7,,USC00303851
20200101,WT06,1,,,7,,USC00304207
20200101,WT04,1,,,7,,USC00304996
20200101,WT01,1,,,7,,USC00307750
20200101,WT06,1,,,7,,USC00308962
20200101,WT01,1,,,W,,USW00004724
20200101,WT01,1,,,W,,USW00004725
20200101,WT08,1,,,W,,USW00014733
20200101,WT01,1,,,W,,USW00014747
20200101,WT01,1,,,W,,USW00054757
20200101,WT08,1,,,W,,USW00054757
20200101,WT01,1,,,W,,USW00064776
20200101,WT01,1,,,W,,USW00094704
20200101,WT01,1,,,W,,USW00094725
20200101,WT01,1,,,W,,USW00094740
20200101,WT08,1,,,W,,USW00094740
20200101,WT01,1,,,W,,USW00094790
20200103,WT01,1,,,7,,USC00300443
20200103,WT01,1,,,7,,USC00303322
20200103,WT01,1,,,7,,USC00306525
20200103,WT01,1,,,7,,USC00306747
20200103,WT01,1,,,7,,USC00308132
20200103,WT01,1,,,7,,USC00308962
20200103,WT01,1,,,W,,USW00004725
20200103,WT02,1,,,W,,USW00004725
20200103,WT01,1,,,W,,USW00004781
20200103,WT01,1,,,W,,USW00014732
20200103,WT08,1,,,W,,USW00014732
20200103,WT01,1,,,W,,USW00014733
20200103,WT01,1,,,W,,USW00014757
20200103,WT01,1,,,W,,USW00014771
20200103,WT01,1,,,W,,USW00094728
20200103,WT08,1,,,W,,USW00094728
20200103,WT01,1,,,W,,USW00094740
20200103,WT01,1,,,W,,USW00094789
20200103,WT01,1,,,W,,USW00094790
20200103,WT08,1,,,W,,USW00094790
20200104,WT01,1,,,7,,USC00300023
20200104,WT01,1,,,7,,USC00300085
20200104,WT01,1,,,7,,USC00300183
20200104,WT01,1,,,7,,USC00300321
20200104,WT01,1,,,7,,USC00301068
20200104,WT01,1,,,7,,USC00301211
20200104,WT01,1,,,7,,USC00301309
20200104,WT01,1,,,7,,USC00301625
20200104,WT01,1,,,7,,USC00303322
20200104,WT01,1,,,7,,USC00304207
20200104,WT01,1,,,7,,USC00304564
20200104,WT01,1,,,7,,USC00305233
20200104,WT01,1,,,7,,USC00305426
20200104,WT01,1,,,7,,USC00306047
20200104,WT01,1,,,7,,USC00306525
20200104,WT01,1,,,7,,USC00307425
20200104,WT01,1,,,7,,USC00307749
20200104,WT01,1,,,7,,USC00307750
20200104,WT01,1,,,7,,USC00308132
20200104,WT01,1,,,7,,USC00308910
20200104,WT04,1,,,7,,USC00308910
20200104,WT04,1,,,7,,USC00308962
20200104,WT06,1,,,7,,USC00308962
20200104,WT01,1,,,7,,USC00309049
20200104,WT01,1,,,7,,USC00309442
20200104,WT01,1,,,7,,USC00309593
20200104,WT01,1,,,W,,USW00004725
20200104,WT02,1,,,W,,USW00004725
20200104,WT01,1,,,W,,USW00004781
20200104,WT02,1,,,W,,USW00004781
20200104,WT01,1,,,W,,USW00014732
20200104,WT02,1,,,W,,USW00014732
20200104,WT01,1,,,W,,USW00014733
20200104,WT01,1,,,W,,USW00014735
20200104,WT01,1,,,W,,USW00014750
20200104,WT01,1,,,W,,USW00014757
20200104,WT01,1,,,W,,USW00014768
20200104,WT01,1,,,W,,USW00014771
20200104,WT01,1,,,W,,USW00064776
20200104,WT01,1,,,W,,USW00094725
20200104,WT01,1,,,W,,USW00094728
20200104,WT02,1,,,W,,USW00094728
