STATION_ID,WEATHER_ID,WEATHER_TYPE,DATE
USC00300317,WT03,Thunder,20200101
USC00303322,WT11,High or damaging wind,20200101
USC00303851,WT06,Glaze,20200101
USC00304207,WT06,Glaze,20200101
USC00304996,WT04,Ice pellets,20200101
USC00307750,WT01,Fog or ice fog or freezing fog,20200101
USC00308962,WT06,Glaze,20200101
USW00004724,WT01,Fog or ice fog or freezing fog,20200101
USW00004725,WT01,Fog or ice fog or freezing fog,20200101
USW00014733,WT08,Smoke or haze,20200101
USW00014747,WT01,Fog or ice fog or freezing fog,20200101
USW00054757,WT01,Fog or ice fog or freezing fog,20200101
USW00054757,WT08,Smoke or haze,20200101
USW00064776,WT01,Fog or ice fog or freezing fog,20200101
USW00094704,WT01,Fog or ice fog or freezing fog,20200101
USW00094725,WT01,Fog or ice fog or freezing fog,20200101
USW00094740,WT01,Fog or ice fog or freezing fog,20200101
USW00094740,WT08,Smoke or haze,20200101
USW00094790,WT01,Fog or ice fog or freezing fog,20200101
USC00300443,WT01,Fog or ice fog or freezing fog,20200103
USC00303322,WT01,Fog or ice fog or freezing fog,20200103
USC00306525,WT01,Fog or ice fog or freezing fog,20200103
USC00306747,WT01,Fog or ice fog or freezing fog,20200103
USC00308132,WT01,Fog or ice fog or freezing fog,20200103
USC00308962,WT01,Fog or ice fog or freezing fog,20200103
USW00004725,WT01,Fog or ice fog or freezing fog,20200103
USW00004725,WT02,Heavy Fog,20200103
USW00004781,WT01,Fog or ice fog or freezing fog,20200103
USW00014732,WT01,Fog or ice fog or freezing fog,20200103
USW00014732,WT08,Smoke or haze,20200103
USW00014733,WT01,Fog or ice fog or freezing fog,20200103
USW00014757,WT01,Fog or ice fog or freezing fog,20200103
USW00014771,WT01,Fog or ice fog or freezing fog,20200103
USW00094728,WT01,Fog or ice fog or freezing fog,20200103
USW00094728,WT08,Smoke or haze,20200103
USW00094740,WT01,Fog or ice fog or freezing fog,20200103
USW00094789,WT01,Fog or ice fog or freezing fog,20200103
USW00094790,WT01,Fog or ice fog or freezing fog,20200103
USW00094790,WT08,Smoke or haze,20200103
USC00300023,WT01,Fog or ice fog or freezing fog,20200104
USC00300085,WT01,Fog or ice fog or freezing fog,20200104
USC00300183,WT01,Fog or ice fog or freezing fog,20200104
USC00300321,WT01,Fog or ice fog or freezing fog,20200104
USC00301068,WT01,Fog or ice fog or freezing fog,20200104
USC00301211,WT01,Fog or ice fog or freezing fog,20200104
USC00301309,WT01,Fog or ice fog or freezing fog,20200104
USC00301625,WT01,Fog or ice fog or freezing fog,20200104
USC00303322,WT01,Fog or ice fog or freezing fog,20200104
USC00304207,WT01,Fog or ice fog or freezing fog,20200104
USC00304564,WT01,Fog or ice fog or freezing fog,20200104
USC00305233,WT01,Fog or ice fog or freezing fog,20200104
USC00305426,WT01,Fog or ice fog or freezing fog,20200104
USC00306047,WT01,Fog or ice fog or freezing fog,20200104
USC00306525,WT01,Fog or ice fog or freezing fog,20200104
USC00307425,WT01,Fog or ice fog or freezing fog,20200104
USC00307749,WT01,Fog or ice fog or freezing fog,20200104
USC00307750,WT01,Fog or ice fog or freezing fog,20200104
USC00308132,WT01,Fog or ice fog or freezing fog,20200104
USC00308910,WT01,Fog or ice fog or freezing fog,20200104
USC00308910,WT04,Ice pellets,20200104
USC00308962,WT04,Ice pellets,20200104
USC00308962,WT06,Glaze,20200104
USC00309049,WT01,Fog or ice fog or freezing fog,20200104
USC00309442,WT01,Fog or ice fog or freezing fog,20200104
